name,symbol,URL
Shiba Inu,SHIB,coinmarketcap.com/currencies/shiba-inu/
Avalanche,AVAX,coinmarketcap.com/currencies/avalanche/
Polkadot,DOT,coinmarketcap.com/currencies/polkadot-new/
Chainlink,LINK,coinmarketcap.com/currencies/chainlink/
TRON,TRX,coinmarketcap.com/currencies/tron/
Bitcoin Cash,BCH,coinmarketcap.com/currencies/bitcoin-cash/
NEAR Protocol,NEAR,coinmarketcap.com/currencies/near-protocol/
Polygon,MATIC,coinmarketcap.com/currencies/polygon/
Uniswap,UNI,coinmarketcap.com/currencies/uniswap/
Litecoin,LTC,coinmarketcap.com/currencies/litecoin/
Pepe,PEPE,coinmarketcap.com/currencies/pepe/
Internet Computer,ICP,coinmarketcap.com/currencies/internet-computer/
UNUS SED LEO,LEO,coinmarketcap.com/currencies/unus-sed-leo/
Dai,DAI,coinmarketcap.com/currencies/multi-collateral-dai/
Kaspa,KAS,coinmarketcap.com/currencies/kaspa/
Ethereum Classic,ETC,coinmarketcap.com/currencies/ethereum-classic/
Render,RNDR,coinmarketcap.com/currencies/render/
Aptos,APT,coinmarketcap.com/currencies/aptos/
Hedera,HBAR,coinmarketcap.com/currencies/hedera/
Stacks,STX,coinmarketcap.com/currencies/stacks/
Filecoin,FIL,coinmarketcap.com/currencies/filecoin/
Cosmos,ATOM,coinmarketcap.com/currencies/cosmos/
Immutable,IMX,coinmarketcap.com/currencies/immutable-x/
Mantle,MNT,coinmarketcap.com/currencies/mantle/
dogwifhat,WIF,coinmarketcap.com/currencies/dogwifhat/
Arbitrum,ARB,coinmarketcap.com/currencies/arbitrum/
Stellar,XLM,coinmarketcap.com/currencies/stellar/
Cronos,CRO,coinmarketcap.com/currencies/cronos/
Monero,XMR,coinmarketcap.com/currencies/monero/
FLOKI,FLOKI,coinmarketcap.com/currencies/floki-inu/
OKB,OKB,coinmarketcap.com/currencies/okb/
Bittensor,TAO,coinmarketcap.com/currencies/bittensor/
The Graph,GRT,coinmarketcap.com/currencies/the-graph/
Arweave,AR,coinmarketcap.com/currencies/arweave/
First Digital USD,FDUSD,coinmarketcap.com/currencies/first-digital-usd/
Optimism,OP,coinmarketcap.com/currencies/optimism-ethereum/
Sui,SUI,coinmarketcap.com/currencies/sui/
VeChain,VET,coinmarketcap.com/currencies/vechain/
Maker,MKR,coinmarketcap.com/currencies/maker/
Injective,INJ,coinmarketcap.com/currencies/injective/
Fantom,FTM,coinmarketcap.com/currencies/fantom/
Bonk,BONK,coinmarketcap.com/currencies/bonk1/
Theta Network,THETA,coinmarketcap.com/currencies/theta-network/
Notcoin,NOT,coinmarketcap.com/currencies/notcoin/
THORChain,RUNE,coinmarketcap.com/currencies/thorchain/
Lido DAO,LDO,coinmarketcap.com/currencies/lido-dao/
Celestia,TIA,coinmarketcap.com/currencies/celestia/
Ondo,ONDO,coinmarketcap.com/currencies/ondo-finance/
JasmyCoin,JASMY,coinmarketcap.com/currencies/jasmy/
Fetch.ai,FET,coinmarketcap.com/currencies/fetch/
